"year","tree_name","description","species","age","region","gps","score_raw","place","cover_photo_url","tree_url","score_value","score_type","place_num","cover_photo_file","lat","lon"
2013,"Plane tree in Eger",NA,"London plane (Platanus acerifolia)","250 years years","Eger, Heves county, Hungary","N 47°53'50.49'', E 20°22'56.6''","14205 votes","1st place","https://cdn.treeoftheyear.org/ety-fe/uploads/small_Platan_v_Egeru_1_bfd6c4c6ec.jpg","https://www.treeoftheyear.org/previous-years/2013/Platan-v-Egeru",14205,"votes",1,"photos/2013_plane_tree_in_eger_Platan-v-Egeru.jpg",47.89735833333333,20.38238888888889
2013,"Plane tree in Kozy",NA,"London plane (Platanus acerifolia)","over200 years","Kozy, Silesia, south Poland","N 49°50'45.89'', E 19°8'32.15''","13989 votes","2nd place","https://cdn.treeoftheyear.org/ety-fe/uploads/small_Platan_v_obci_Kozy_1_b9091aaad2.jpg","https://www.treeoftheyear.org/previous-years/2013/Platan-v-obci-Kozy",13989,"votes",2,"photos/2013_plane_tree_in_kozy_Platan-v-obci-Kozy.jpg",49.84608055555556,19.142263888888888
2013,"King Oak",NA,"pedunculate oak (Quercus robur)","400-800 years","Charleville Forest Estate, Tullamore, County Offaly, Ireland","N 53°15'59.9'', W 7°31'6.49''","5785 votes","3rd place","https://cdn.treeoftheyear.org/ety-fe/uploads/small_Kralovsky_dub_1_f0762b65da.jpg","https://www.treeoftheyear.org/previous-years/2013/Kralovsky-dub",5785,"votes",3,"photos/2013_king_oak_Kralovsky-dub.jpg",53.26663888888889,-7.518469444444444
2013,"Lime Tree in the Nové Dvory Alley",NA,"lime (Tilia cordata)","about200 years","Nové Dvory, Southern Moravia, Czech Republic","N 49°22'40.9'', E 16°42'55.5''","4636 votes","4th place","https://cdn.treeoftheyear.org/ety-fe/uploads/small_Lipa_z_Novodvorske_aleje_1_79093b6cc3.jpg","https://www.treeoftheyear.org/previous-years/2013/Lipa-z-Novodvorske-aleje",4636,"votes",4,"photos/2013_lime_tree_in_the_nov_dvory_alley_Lipa-z-Novodvorske-aleje.jpg",49.37802777777778,16.715416666666666
2013,"Plane tree from Komjatice",NA,"London plane (Platanus acerifolia)","140 years years","Komjatice, Nitra region, south-western Slovakia","N 48°9'20.59'', E 18°10'51.6''","3876 votes","5th place","https://cdn.treeoftheyear.org/ety-fe/uploads/small_Komjaticky_platan_1_4d55955a18.jpg","https://www.treeoftheyear.org/previous-years/2013/Komjaticky-platan",3876,"votes",5,"photos/2013_plane_tree_from_komjatice_Komjaticky-platan.jpg",48.15571944444444,18.181
2013,"The Mulberry and Walnut trees of Glushnik",NA,"2 walnut trees (Juglans regia) and a mulberry tree (Morus alba L.)","200years(walnuts),500years years","Village of Glushnik, Sliven region, Bulgaria","N 42°39'44.79'', E 26°30'13.6''","2737 votes","6th place","https://cdn.treeoftheyear.org/ety-fe/uploads/small_Moruse_a_oresaky_v_Glusniku_1_7db7f67d54.jpg","https://www.treeoftheyear.org/previous-years/2013/Moruse-a-oresaky-v-Glusniku",2737,"votes",6,"photos/2013_the_mulberry_and_walnut_trees_of_glushnik_Moruse-a-oresaky-v-Glusniku.jpg",42.662441666666666,26.503777777777778
2014,"The Old Elm",NA,"Field Elm (Ulmus minor)","1100 years years","City of Sliven, Sliven region, Bulgaria","N 42°40'50.01'', E 26°19'0.76''","77526 votes","1st place","https://cdn.treeoftheyear.org/ety-fe/uploads/small_Stary_jilm_1_a94f5c1cbd.jpg","https://www.treeoftheyear.org/previous-years/2014/Stary-jilm",77526,"votes",1,"photos/2014_the_old_elm_Stary-jilm.jpg",42.68055833333333,26.316877777777776
2014,"The Giant Wild Pear of Gödöllő",NA,"Wild pear (Pyrus pyraster)","280 years years","Gödöllő, Pest county, Hungary","N 47°35'42.41'', E 19°22'2.26''","36925 votes","2nd place","https://cdn.treeoftheyear.org/ety-fe/uploads/small_Obri_plana_hrusen_v_Godollo_1_280c4d159e.jpg","https://www.treeoftheyear.org/previous-years/2014/Obri-plana-hrusen-v-Godollo",36925,"votes",2,"photos/2014_the_giant_wild_pear_of_g_d_ll_Obri-plana-hrusen-v-Godollo.jpg",47.59511388888889,19.367294444444443
2014,"Wybicki Oak at Będomin",NA,"pedunculate oak (Quercus robur)","400 years years","Będomin, Pomorskie voivodship, Poland","N 54°7'46.3'', E 18°7'13.9''","16768 votes","3rd place","https://cdn.treeoftheyear.org/ety-fe/uploads/small_Wybickeho_dub_v_Bedominu_1_c7ccec78b6.jpg","https://www.treeoftheyear.org/previous-years/2014/Wybickeho-dub-v-Bedominu",16768,"votes",3,"photos/2014_wybicki_oak_at_b_domin_Wybickeho-dub-v-Bedominu.jpg",54.12952777777778,18.120527777777777
2014,"Zechenter´s Garden Oak",NA,"pedunculate oak (Quercus robur)","350 years years","Kremnica, Banská Bystrica region, Slovakia","N 48°42'9.2'', E 18°55'12.29''","10169 votes","4th place","https://cdn.treeoftheyear.org/ety-fe/uploads/small_Dub_v_Zechenterove_zahrade_1_ba6dea182a.jpg","https://www.treeoftheyear.org/previous-years/2014/Dub-v-Zechenterove-zahrade",10169,"votes",4,"photos/2014_zechenter_s_garden_oak_Dub-v-Zechenterove-zahrade.jpg",48.702555555555556,18.920080555555558
2014,"The Guardian Oak of Višňová",NA,"pedunculate oak (Quercus robur)","150 years years","Višňová, Liberec region, Czech Republic","N 50°56'20.1'', E 15°1'38.1''","8211 votes","5th place","https://cdn.treeoftheyear.org/ety-fe/uploads/small_Dub_ochrance_ve_Visnove_1_9502e19d7d.jpg","https://www.treeoftheyear.org/previous-years/2014/Dub-ochrance-ve-Visnove",8211,"votes",5,"photos/2014_the_guardian_oak_of_vi_ov_Dub-ochrance-ve-Visnove.jpg",50.938916666666664,15.02725
2014,"The Bonsai Oak in Begard",NA,"pedunculate oak bonsai (Quercus robur ""Bonzai"")","100 years years","Begard, Brittany region, France","N 48°37'1.7'', W 3°17'2.19''","4989 votes","6th place","https://cdn.treeoftheyear.org/ety-fe/uploads/small_Zakrsly_dub_v_Begradu_1_cfb9cd2d5f.jpg","https://www.treeoftheyear.org/previous-years/2014/Zakrsly-dub-v-Begradu",4989,"votes",6,"photos/2014_the_bonsai_oak_in_begard_Zakrsly-dub-v-Begradu.jpg",48.61713888888889,-3.2839416666666668
2014,"Niel Gow's Oak","Niel Gow was the most famous Scottish fiddler of the 18th century, and today his tunes are played around the globe. Local legend says that many of them were composed under this ancient oak on the River Tay in Perthshire. A seat placed underneath the oak by Forestry Commission Scotland includes a lyric by singer songwriter Michael Marra, “I’ll sit beneath the fiddle tree, with the ghost of Niel Gow next to me”, a tribute to the legacy left to modern musicians by their ancestor.","Sessile oak (Quercus petraea)","300 years years","Perthshire, Scotland","N 56°33'28.54'', W 3°36'18.76''","1740 votes","7th place","https://cdn.treeoftheyear.org/ety-fe/uploads/small_Dub_Niela_Gowse_1_3cab8bffbd.jpg","https://www.treeoftheyear.org/previous-years/2014/Dub-Niela-Gowse",1740,"votes",7,"photos/2014_niel_gow_s_oak_Dub-Niela-Gowse.jpg",56.55792777777778,-3.605211111111111
2014,"The Birr Castle Grey Poplar",NA,"Grey Poplar (poplus x canescens)","200years(beforeitsfallin years","County Offaly, Ireland","N 53°5'39.5'', W 7°54'52.89''","1517 votes","8th place","https://cdn.treeoftheyear.org/ety-fe/uploads/small_Sedy_topol_na_hrade_Birr_1_a86b469b42.jpg","https://www.treeoftheyear.org/previous-years/2014/Sedy-topol-na-hrade-Birr",1517,"votes",8,"photos/2014_the_birr_castle_grey_poplar_Sedy-topol-na-hrade-Birr.jpg",53.09430555555556,-7.914691666666667
2014,"The Oak at the Gate of the Dead",NA,"pedunculate oak (Quercus robur)","1000 years years","Wrexham, Wales","N 52°55'53.29'', W 3°5'43.29''","1093 votes","9th place","https://cdn.treeoftheyear.org/ety-fe/uploads/small_Dub_pred_Branou_mrtvych_1_1641930db5.jpg","https://www.treeoftheyear.org/previous-years/2014/Dub-pred-Branou-mrtvych",1093,"votes",9,"photos/2014_the_oak_at_the_gate_of_the_dead_Dub-pred-Branou-mrtvych.jpg",52.931469444444446,-3.0953583333333334
2014,"The Tree of Perfect Gaiety",NA,"downy oak (Quercus pubescens)","90 years years","Alta Sabina, Lazio region, Italy","N 42°22'42.09'', E 12°49'40.9''","689 votes","10th place","https://cdn.treeoftheyear.org/ety-fe/uploads/small_Strom_prirodni_harmonie_1_752da5ec78.jpg","https://www.treeoftheyear.org/previous-years/2014/Strom-prirodni-harmonie",689,"votes",10,"photos/2014_the_tree_of_perfect_gaiety_Strom-prirodni-harmonie.jpg",42.37835833333333,12.828027777777777
2015,"Oak tree on a football field",NA,"Oak (Quercus robur)","~150 years years","Orissaare, Saaremaa, Estonia","N 58°33'32.4'', E 23°4'48.72''","59836 votes","1st place","https://cdn.treeoftheyear.org/ety-fe/uploads/small_Dub_na_fotbalovem_hristi_1_4546d172d2.jpg","https://www.treeoftheyear.org/previous-years/2015/Dub-na-fotbalovem-hristi",59836,"votes",1,"photos/2015_oak_tree_on_a_football_field_Dub-na-fotbalovem-hristi.jpg",58.559,23.0802
2015,"The great plane of Tata",NA,"Oriental Plane (Platanus orientalis)","232 years years","Tata, Komárom-Esztergom county, Hungary","N 47°38'51.72'', E 18°19'7.68''","53487 votes","2nd place","https://cdn.treeoftheyear.org/ety-fe/uploads/small_Velky_platan_v_Tate_1_7350949bce.jpg","https://www.treeoftheyear.org/previous-years/2015/Velky-platan-v-Tate",53487,"votes",2,"photos/2015_the_great_plane_of_tata_Velky-platan-v-Tate.jpg",47.6477,18.3188
2015,"Poplar pollard of the Remolinar",NA,"Black poplar (Populus nigra)","250 years years","Aguilar del Alfambra, Aragón, Spain","N 40°35'26.88'', W 0°48'38.05''","13951 votes","3rd place","https://cdn.treeoftheyear.org/ety-fe/uploads/small_Topol_cerny_v_Alfambre_1_b1a24e9485.jpg","https://www.treeoftheyear.org/previous-years/2015/Topol-cerny-v-Alfambre",13951,"votes",3,"photos/2015_poplar_pollard_of_the_remolinar_Topol-cerny-v-Alfambre.jpg",40.5908,-0.8105694444444445
2015,"Oak Slav",NA,"Pedunculate oak (Quercus robur L.)","450 years years","Dębina, Lower Silesia region, Poland","N 51°3'24.12'', E 17°22'54.84''","12354 votes","4th place","https://cdn.treeoftheyear.org/ety-fe/uploads/small_Dub_Slovan_1_b26cb98cd4.jpg","https://www.treeoftheyear.org/previous-years/2015/Dub-Slovan",12354,"votes",4,"photos/2015_oak_slav_Dub-Slovan.jpg",51.0567,17.3819
2015,"The Opatovice Pine",NA,"black pine (Pinus nigra ssp. austriaca)","257 years years","Velké Opatovice, South Moravian region, Czech republic","N 49°36'36.72'', E 16°40'11.28''","12327 votes","5th place","https://cdn.treeoftheyear.org/ety-fe/uploads/small_Opatovicka_borovice_1_e0bf4014f8.jpg","https://www.treeoftheyear.org/previous-years/2015/Opatovicka-borovice",12327,"votes",5,"photos/2015_the_opatovice_pine_Opatovicka-borovice.jpg",49.6102,16.669800000000002
2015,"Major Oak",NA,"Pedunculate Oak (Quercus Robur)","800-1000 years","Nottinghamshire, England, UK","N 53°12'16.92'', W 1°4'11.96''","9941 votes","6th place","https://cdn.treeoftheyear.org/ety-fe/uploads/small_Velky_dub_1_f8c9930cca.jpg","https://www.treeoftheyear.org/previous-years/2015/Velky-dub",9941,"votes",6,"photos/2015_major_oak_Velky-dub.jpg",53.2047,-1.0699888888888889
2015,"The Plane in Archar village",NA,"Plane (Platanus)","51 years years","Village of Archar, Vidin Region, Bulgaria","N 43°48'34.2'', E 22°55'9.48''","7052 votes","7th place","https://cdn.treeoftheyear.org/ety-fe/uploads/small_Archarsky_platan_1_5c9279e5a1.jpg","https://www.treeoftheyear.org/previous-years/2015/Archarsky-platan",7052,"votes",7,"photos/2015_the_plane_in_archar_village_Archarsky-platan.jpg",43.8095,22.9193
2015,"Mulberry - The lighthouse of the history",NA,"White mulberry (Morus alba)","200 years years","Senica, Trnava region, Slovakia","N 48°40'46.56'', E 17°21'54''","6776 votes","8th place","https://cdn.treeoftheyear.org/ety-fe/uploads/small_Morusovnik_majak_minulosti_1_189ead4a4c.jpg","https://www.treeoftheyear.org/previous-years/2015/Morusovnik-majak-minulosti",6776,"votes",8,"photos/2015_mulberry_the_lighthouse_of_the_history_Morusovnik-majak-minulosti.jpg",48.6796,17.365000000000002
2015,"Lady's Tree","This Scots pine on a nature reserve in Perthshire is part of a conservation success story. For the past 24 years an osprey affectionately known by many as ‘Lady’ has been returning to a nest in its branches. Over this time she has laid 71 eggs and fledged 50 chicks, and a webcam on the tree attracts over 1 million viewers a year in over 160 different countries.","Scots pine (Pinus sylvestris)","100 years years","Loch of the Lowes, Perthshire, Scotland, UK","N 56°34'33.24'', W 3°33'33.91''","4193 votes","9th place","https://cdn.treeoftheyear.org/ety-fe/uploads/small_Strom_Damy_1_8cdce294ba.jpg","https://www.treeoftheyear.org/previous-years/2015/Strom-Damy",4193,"votes",9,"photos/2015_lady_s_tree_Strom-Damy.jpg",56.575900000000004,-3.5594194444444445
2015,"The Lonely Tree of Llanfyllin",NA,"Scots Pine (Pinus sylvestris)","Over200 years","Powys, Wales, UK","N 52°45'44.64'', W 3°15'2.05''","1548 votes","10th place","https://cdn.treeoftheyear.org/ety-fe/uploads/small_Osamely_strom_v_Llanfyllinu_1_d21214f33a.jpg","https://www.treeoftheyear.org/previous-years/2015/Osamely-strom-v-Llanfyllinu",1548,"votes",10,"photos/2015_the_lonely_tree_of_llanfyllin_Osamely-strom-v-Llanfyllinu.jpg",52.7624,-3.2505694444444444
2015,"The Nail tree",NA,"horse chestnut (Aesculus hippocastanum)","fromtheMiddle years","Voeren, Belgium","N 50°45'24.12'', E 5°45'28''","1362 votes","11th place","https://cdn.treeoftheyear.org/ety-fe/uploads/small_Strom_hrebiku_1_9d6211a2b9.jpg","https://www.treeoftheyear.org/previous-years/2015/Strom-hrebiku",1362,"votes",11,"photos/2015_the_nail_tree_Strom-hrebiku.jpg",50.7567,5.757777777777778
2015,"The chestnut tree",NA,"Sweet chestnut (Castanea sativa)","800-1000 years","Pianello, Corsica, France","N 42°17'58.92'', E 9°14'9.85''","654 votes","12th place","https://cdn.treeoftheyear.org/ety-fe/uploads/small_Kastanovnik_1_eca366b889.jpg","https://www.treeoftheyear.org/previous-years/2015/Kastanovnik",654,"votes",12,"photos/2015_the_chestnut_tree_Kastanovnik.jpg",42.2997,9.236069444444444
2015,"Olive Tree from Canneto Sabino",NA,"Olive (Olea europaea)","2000 years","Sabina, Lazio, Italy","N 42°11'2.04'', E 12°43'53.04''","515 votes","13th place","https://cdn.treeoftheyear.org/ety-fe/uploads/small_Olivovnik_z_Canneta_Sabina_1_8ff43be9ed.jpg","https://www.treeoftheyear.org/previous-years/2015/Olivovnik-z-Canneta-Sabina",515,"votes",13,"photos/2015_olive_tree_from_canneto_sabino_Olivovnik-z-Canneta-Sabina.jpg",42.183899999999994,12.7314
2015,"Cedar of Lebanon",NA,"Cedar of Lebanon (Cedrus libani)","15 years years","Ballinderry, Nenagh, Co Tipperary, Ireland","N 53°1'30.36'', W 8°13'14.84''","308 votes","14th place","https://cdn.treeoftheyear.org/ety-fe/uploads/small_Libanonsky_cedr_1_edd2a231a2.jpg","https://www.treeoftheyear.org/previous-years/2015/Libanonsky-cedr",308,"votes",14,"photos/2015_cedar_of_lebanon_Libanonsky-cedr.jpg",53.0251,-8.220788888888888
2016,"The oldest tree of Bátaszék",NA,"Downy oak (Quercus pubescens)","300-400years years","Bátaszék, Tolna county, Hungary","N 46°10'12.4'', E 18°42'0.96''","72653 votes","1st place","https://cdn.treeoftheyear.org/ety-fe/uploads/small_Nejstarsi_strom_v_Bataszeku_1_3719a5c148.jpg","https://www.treeoftheyear.org/previous-years/2016/Nejstarsi-strom-v-Bataszeku",72653,"votes",1,"photos/2016_the_oldest_tree_of_b_tasz_k_Nejstarsi-strom-v-Bataszeku.jpg",46.17011111111111,18.700266666666668
2016,"The Thousand Year Old Lime",NA,"Lime (Tilia platyphyllos)","650 years years","Tatobity, Liberec region, Czech republic","N 50°34'5.5'', E 15°16'28.74''","43451 votes","2nd place","https://cdn.treeoftheyear.org/ety-fe/uploads/small_Tatobitska_tisicileta_lipa_1_ef687561c0.jpg","https://www.treeoftheyear.org/previous-years/2016/Tatobitska-tisicileta-lipa",43451,"votes",2,"photos/2016_the_thousand_year_old_lime_Tatobitska-tisicileta-lipa.jpg",50.56819444444445,15.274650000000001
2016,"Pear from Bošáca - Zabudišová",NA,"Pear pink (Pyrus communis)","200 years years","village Bošáca, local part Zabudišová, region Nové Mesto nad Váhom, Slovakia","N 48°52'5.49'', E 17°50'22.7''","29114 votes","3rd place","https://cdn.treeoftheyear.org/ety-fe/uploads/small_Hrusen_z_Bosaci_Zabudisove_1_1f9db03979.jpg","https://www.treeoftheyear.org/previous-years/2016/Hrusen-z-Bosaci-Zabudisove",29114,"votes",3,"photos/2016_pear_from_bo_ca_zabudi_ov_Hrusen-z-Bosaci-Zabudisove.jpg",48.86819166666667,17.83963888888889
2016,"The Oak of Bolko",NA,"Oak (Quercus robur)","1000 years years","Hniszów, municipality Ruda Huta, Lublin province, Poland","N 51°15'30.6'', E 23°41'46.2''","23313 votes","4th place","https://cdn.treeoftheyear.org/ety-fe/uploads/small_Dub_Bolko_1_6df2d7e8b6.jpg","https://www.treeoftheyear.org/previous-years/2016/Dub-Bolko",23313,"votes",4,"photos/2016_the_oak_of_bolko_Dub-Bolko.jpg",51.2585,23.696166666666667
2016,"Canicosa´s Pine-Oak",NA,"Pyrenean oak (Quercus pyrenaica) and Scots pine (Pinus sylvestris)","Oak:250years,Pine:130 years","Canicosa de la Sierra, Castilla and León, Spain","N 41°55'52.78'', W 3°2'32.47''","21191 votes","5th place","https://cdn.treeoftheyear.org/ety-fe/uploads/small_Dubo_borovice_v_Canicose_1_986233c220.jpg","https://www.treeoftheyear.org/previous-years/2016/Dubo-borovice-v-Canicose",21191,"votes",5,"photos/2016_canicosa_s_pine_oak_Dubo-borovice-v-Canicose.jpg",41.931327777777774,-3.0423527777777775
2016,"The oak from Danube park in Silistra",NA,"Common Oak (Quercus robur)","105 years years","Silistra, Bulgaria","N 44°7'17.97'', E 27°15'36.26''","17204 votes","6th place","https://cdn.treeoftheyear.org/ety-fe/uploads/small_Dub_v_Dunajskem_parku_v_Silistre_1_b8d8960420.jpg","https://www.treeoftheyear.org/previous-years/2016/Dub-v-Dunajskem-parku-v-Silistre",17204,"votes",6,"photos/2016_the_oak_from_danube_park_in_silistra_Dub-v-Dunajskem-parku-v-Silistre.jpg",44.121658333333336,27.260072222222224
2016,"Tamme-Lauri oak",NA,"Common oak (Quercus robur)","About700 years","Urvaste Parish, Võru County, Estonia","N 57°55'1.99'', E 26°34'36''","9064 votes","7th place","https://cdn.treeoftheyear.org/ety-fe/uploads/small_Dub_Tamme_Lauri_1_6a030fb45c.jpg","https://www.treeoftheyear.org/previous-years/2016/Dub-Tamme-Lauri",9064,"votes",7,"photos/2016_tamme_lauri_oak_Dub-Tamme-Lauri.jpg",57.91721944444444,26.576666666666668
2016,"The Cubbington Pear Tree",NA,"Wild Pear Tree (Pyrus pyraster)","250years years","Cubbington, Warwickshire, England, UK","N 52°16'41.28'', W 1°27'2.24''","7858 votes","8th place","https://cdn.treeoftheyear.org/ety-fe/uploads/small_Hrusen_z_Cubbingtonu_1_9881a9afca.jpg","https://www.treeoftheyear.org/previous-years/2016/Hrusen-z-Cubbingtonu",7858,"votes",8,"photos/2016_the_cubbington_pear_tree_Hrusen-z-Cubbingtonu.jpg",52.27813333333333,-1.4506222222222223
2016,"The Big oak of Liernu",NA,"Common Oak (Quercus robur)","Over1000 years","Liernu, Wallonia, Belgium","N 50°35'2.27'', E 4°49'39.18''","1262 votes","9th place","https://cdn.treeoftheyear.org/ety-fe/uploads/small_Velky_dub_v_Liernu_1_bd5fd4bf81.jpg","https://www.treeoftheyear.org/previous-years/2016/Velky-dub-v-Liernu",1262,"votes",9,"photos/2016_the_big_oak_of_liernu_Velky-dub-v-Liernu.jpg",50.58396388888889,4.82755
2016,"The Suffragette Oak",NA,"Sessile oak (Quercus petraea)","97years years","Kelvingrove Park, Glasgow, Scotland, UK","N 55°52'15.76'', W 4°17'9.1''","1258 votes","10th place","https://cdn.treeoftheyear.org/ety-fe/uploads/small_Dub_sufrazetek_1_62ff44849e.jpg","https://www.treeoftheyear.org/previous-years/2016/Dub-sufrazetek",1258,"votes",10,"photos/2016_the_suffragette_oak_Dub-sufrazetek.jpg",55.87104444444444,-4.285861111111111
2016,"Millennial Lime Tree of Heede",NA,"Large-leaved Lime (Tilia platyphyllos)","600 years years","Heede, Lower Saxony, Germany","N 52°59'35.87'', E 7°17'45.77''","1024 votes","11th place","https://cdn.treeoftheyear.org/ety-fe/uploads/small_Tisicileta_lipa_z_Heede_1_6d5ec3a8bc.jpg","https://www.treeoftheyear.org/previous-years/2016/Tisicileta-lipa-z-Heede",1024,"votes",11,"photos/2016_millennial_lime_tree_of_heede_Tisicileta-lipa-z-Heede.jpg",52.993297222222225,7.296047222222222
2016,"Weeping blue cedar",NA,"Cedrus atlantica (Glauca Pendula)","150 years years","Hauts de Seine, France","N 48°46'23.99'', E 2°16'3''","737 votes","12th place","https://cdn.treeoftheyear.org/ety-fe/uploads/small_Modry_previsly_cedr_1_70538795bc.jpg","https://www.treeoftheyear.org/previous-years/2016/Modry-previsly-cedr",737,"votes",12,"photos/2016_weeping_blue_cedar_Modry-previsly-cedr.jpg",48.77333055555555,2.2675
